configuration,epoch,optimizer_update,mean_total_training_loss,mean_scene_loss,mean_ip_loss,ip_loss_semantics,ending_learning_rate,validation_retrieval_loss,mean_source_separation_margin,patience,final_selected_checkpoint
cfg_intensity_20,10,760,4.791730501,4.709328967,0.08240153056,raw,0.001,1.350823402,0.1456088573,0,false
cfg_intensity_20,15,1140,3.669580227,3.632906998,0.03667323333,raw,0.0009982922465,0.8498205543,0.1921324879,0,false
cfg_intensity_20,20,1520,2.983738316,2.953639937,0.03009838192,raw,0.0009931806517,0.7423114777,0.2125919759,0,false
cfg_intensity_20,25,1900,2.568896211,2.541610183,0.02728602681,raw,0.000984700133,0.6239972711,0.2296407074,0,false
cfg_intensity_20,30,2280,2.304479473,2.279464597,0.0250148732,raw,0.0009729086209,0.5779951215,0.2366918176,0,false
cfg_intensity_20,35,2660,2.111583202,2.087552123,0.02403108004,raw,0.0009578866633,0.5592969656,0.2459811717,0,false
cfg_intensity_20,40,3040,1.967330962,1.944556514,0.02277444615,raw,0.0009397368756,0.4756860435,0.256403923,0,false
cfg_intensity_20,45,3420,1.845557016,1.82344992,0.0221070953,raw,0.0009185832391,0.48161304,0.2566138804,1,false
cfg_intensity_20,50,3800,1.757505386,1.736218891,0.02128649606,raw,0.0008945702547,0.4792764783,0.2617822587,2,false
cfg_intensity_20,55,4180,1.680032312,1.659256668,0.02077564479,raw,0.0008678619553,0.4640571475,0.2634797394,0,false
cfg_intensity_20,60,4560,1.611529781,1.591499429,0.02003035419,raw,0.0008386407858,0.4453126192,0.2675468624,0,false
cfg_intensity_20,65,4940,1.540140211,1.520658204,0.01948200886,raw,0.0008071063563,0.4337867498,0.2695323229,0,false
cfg_intensity_20,70,5320,1.495036647,1.475679271,0.01935737479,raw,0.0007734740791,0.4208051562,0.2731133103,0,false
cfg_intensity_20,75,5700,1.446284802,1.427258787,0.01902601342,raw,0.0007379736965,0.418831706,0.2729424536,0,false
cfg_intensity_20,80,6080,1.405525279,1.386531503,0.01899377904,raw,0.0007008477123,0.4109343588,0.2762164474,0,false
cfg_intensity_20,85,6460,1.366770497,1.347831698,0.01893879772,raw,0.0006623497346,0.3953050673,0.2793853283,0,false
cfg_intensity_20,90,6840,1.329259918,1.310914256,0.01834566216,raw,0.0006227427436,0.4172199667,0.2770092785,1,false
cfg_intensity_20,95,7220,1.299773264,1.281814321,0.01795894164,raw,0.0005822972951,0.4081731737,0.277487874,2,false
cfg_intensity_20,100,7600,1.272957101,1.254921275,0.018035824,raw,0.0005412896727,0.3941736519,0.2808478177,0,false
cfg_intensity_20,105,7980,1.247372284,1.229719758,0.01765252757,raw,0.0005,0.3998046815,0.2799630761,1,false
cfg_intensity_20,110,8360,1.222884406,1.205424848,0.01745955688,raw,0.0004587103273,0.3962211907,0.2804268003,2,false
cfg_intensity_20,115,8740,1.201482616,1.184257361,0.01722525514,raw,0.0004177027049,0.4017534554,0.2801092267,3,false
cfg_intensity_20,120,9120,1.180696424,1.163693379,0.01700304496,raw,0.0003772572564,0.3881680965,0.2822466493,0,false
cfg_intensity_20,125,9500,1.161047094,1.143900443,0.01714665102,raw,0.0003376502654,0.3976168931,0.2815231681,1,false
cfg_intensity_20,130,9880,1.143942889,1.126866723,0.01707616844,raw,0.0002991522877,0.3854102194,0.2826813757,0,false
